
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,768 K
Registry                       176 Services                   0     10,156 K
smss.exe                       632 Services                   0          N/A
csrss.exe                      880 Services                   0      1,172 K
wininit.exe                   1056 Services                   0        468 K
services.exe                  1192 Services                   0      6,952 K
lsass.exe                     1220 Services                   0     10,012 K
svchost.exe                   1368 Services                   0     19,496 K
fontdrvhost.exe               1376 Services                   0        160 K
WUDFHost.exe                  1480 Services                   0         20 K
svchost.exe                   1544 Services                   0     13,400 K
svchost.exe                   1592 Services                   0      3,172 K
WUDFHost.exe                  1660 Services                   0      4,952 K
svchost.exe                   1816 Services                   0      1,656 K
svchost.exe                   1860 Services                   0      2,668 K
svchost.exe                   1884 Services                   0        920 K
svchost.exe                   2024 Services                   0      5,420 K
svchost.exe                   1052 Services                   0      6,036 K
svchost.exe                   1528 Services                   0      1,348 K
svchost.exe                   1560 Services                   0      2,452 K
svchost.exe                   1648 Services                   0      1,176 K
svchost.exe                   1280 Services                   0      1,612 K
IntelCpHDCPSvc.exe            2200 Services                   0        872 K
svchost.exe                   2228 Services                   0      1,124 K
svchost.exe                   2272 Services                   0      4,900 K
svchost.exe                   2280 Services                   0        892 K
svchost.exe                   2304 Services                   0      1,068 K
svchost.exe                   2380 Services                   0      2,644 K
svchost.exe                   2408 Services                   0      9,332 K
svchost.exe                   2560 Services                   0      1,112 K
svchost.exe                   2616 Services                   0        472 K
svchost.exe                   2816 Services                   0      1,828 K
igfxCUIServiceN.exe           2888 Services                   0         20 K
svchost.exe                   2984 Services                   0      4,656 K
svchost.exe                   3076 Services                   0      3,900 K
svchost.exe                   3088 Services                   0      1,300 K
wsc_proxy.exe                 3096 Services                   0        492 K
Memory Compression            3332 Services                   0     92,368 K
svchost.exe                   3456 Services                   0      1,212 K
svchost.exe                   3492 Services                   0        836 K
svchost.exe                   3500 Services                   0      1,264 K
svchost.exe                   3600 Services                   0      8,196 K
svchost.exe                   3644 Services                   0      1,192 K
svchost.exe                   3740 Services                   0        988 K
svchost.exe                   3816 Services                   0      7,216 K
svchost.exe                   3868 Services                   0      9,792 K
svchost.exe                   3876 Services                   0      3,824 K
svchost.exe                   3884 Services                   0      1,884 K
AVGSvc.exe                    4020 Services                   0     23,344 K
svchost.exe                   2948 Services                   0      1,244 K
avgToolsSvc.exe               4284 Services                   0     18,656 K
spoolsv.exe                   4432 Services                   0      1,468 K
svchost.exe                   4472 Services                   0     11,216 K
svchost.exe                   4612 Services                   0      2,024 K
svchost.exe                   4780 Services                   0      3,216 K
afwServ.exe                   4952 Services                   0      5,492 K
Dell.TechHub.exe              5060 Services                   0      4,544 K
svchost.exe                   5068 Services                   0      1,112 K
DSAService.exe                5076 Services                   0      3,948 K
DSAUpdateService.exe          5084 Services                   0      1,296 K
svchost.exe                   5096 Services                   0     17,776 K
svchost.exe                   5108 Services                   0     12,208 K
OfficeClickToRun.exe          5116 Services                   0      6,080 K
esif_uf.exe                   4168 Services                   0        888 K
OneApp.IGCC.WinService.ex     4260 Services                   0      4,116 K
cmw_srv.exe                   4296 Services                   0     18,200 K
svchost.exe                   2832 Services                   0      1,080 K
IntelAudioService.exe         4084 Services                   0      3,092 K
collector_service.exe         1184 Services                   0      1,516 K
IntelGraphicsSoftware.Ser     4264 Services                   0      4,280 K
jhi_service.exe               5148 Services                   0         20 K
mc-fw-host.exe                5168 Services                   0     71,416 K
svchost.exe                   5352 Services                   0      2,380 K
RtkAudUService64.exe          5384 Services                   0      2,224 K
RstMwService.exe              5392 Services                   0         20 K
svchost.exe                   5400 Services                   0      1,016 K
mysqld.exe                    5432 Services                   0         20 K
SangforPWEx.exe               5560 Services                   0         16 K
dasHost.exe                   5580 Services                   0         20 K
SmartByteAnalyticsService     5608 Services                   0        940 K
SangforPromoteService.exe     5660 Services                   0     11,416 K
SmartByteNetworkService.e     5696 Services                   0     21,072 K
SurSvc.exe                    5736 Services                   0      4,816 K
WavesSysSvc64.exe             5892 Services                   0        476 K
svchost.exe                   5900 Services                   0        456 K
